medcode,readcode,readterm,minormalformation,subgroup
34176,p721z00,aortic arch anomalies nos,,Heart
68198,p722.00,atresia and stenosis of aorta,,Heart
59298,p722100,aplasia of aorta,,Heart
37515,p722200,hypoplasia of aorta,,Heart
63768,p722300,stricture of aorta,,Heart
53964,p722400,supra-valvular aortic stenosis,,Heart
58189,p722411,congenital stenosis of ascending aorta,,Heart
62376,p722500,atresia of aorta,,Heart
58076,p722z00,atresia or stenosis of aorta nos,,Heart
44781,p72z.00,other anomalies of aorta nos,,Heart
49474,p72z000,aneurysm of sinus of valsalva,,Heart
56200,p72z100,congenital aneurysm of aorta,,Heart
11293,p72z111,congenital dilatation of aorta,,Heart
11945,p72zz00,other anomaly of aorta nos,,Heart
11127,p73..00,pulmonary artery anomalies,,Heart
63187,p730.00,"pulmonary artery anomaly, unspecified",,Heart
67928,p731.00,pulmonary artery agenesis,,Heart
103672,p731.11,congenital absence of pulmonary artery,,Heart
31112,p732.00,pulmonary artery atresia,,Heart
18982,p733.00,coarctation of the pulmonary artery,,Heart
54487,p734.00,hypoplasia of the pulmonary artery,,Heart
2670,p735.00,stenosis of pulmonary artery,If gest. age <37 weeks,Heart
111389,p735.11,congenital stricture of pulmonary artery,,Heart
96225,p736.00,pulmonary arterio-venous aneurysm,,Heart
47853,p736.11,pulmonary arterio-venous fistula,,Heart
10047,p736.12,pulmonary arterio-venous malformation,,Heart
65029,p737.00,pulmonary artery aneurysm,,Heart
36307,p737.11,dilatation of pulmonary artery,,Heart
32508,p738.00,atresia of pulmonary artery with septal defect,,Heart
52411,p73y.00,other specified anomaly of pulmonary artery,,Heart
42127,p73z.00,pulmonary artery anomaly nos,,Heart
42684,p74..00,anomalies of great veins,,Heart
45291,p740.00,"anomaly of great veins, unspecified",,Heart
74890,p740000,"anomaly of the pulmonary veins, unspecified",,Heart
50886,p740100,"anomaly of the vena cava, unspecified",,Heart
51941,p741.00,total anomalous pulmonary venous return - tapvr,,Heart
105037,p741000,subdiaphragmatic total anomalous pulmonary venous return,,Heart
103039,p741100,supradiaphragmatic total anomalous pulmonary venous return,,Heart
68784,p741z00,total anomalous pulmonary venous return nos,,Heart
46176,p742.00,partial anomalous pulmonary venous return,,Heart
63677,p742.11,anomalous termination of right pulmonary vein,,Heart
101307,p743.00,anomalous portal vein termination,,Heart
99649,p744.00,portal vein - hepatic artery fistula,,Heart
73663,p74z.00,other great vein anomalies,,Heart
100772,p74z.11,persistent left posterior cardinal vein,,Heart
101520,p74z000,absence of inferior vena cava,,Heart
72655,p74z100,absence of superior vena cava,,Heart
51675,p74z200,stenosis of inferior vena cava,,Heart
41197,p74z300,stenosis of superior vena cava,,Heart
110026,p74z500,persistent left superior vena cava,Yes,Heart
36606,p74z600,scimitar syndrome,,Heart
71874,p74z700,transposition of pulmonary veins,,Heart
51911,p74z800,atresia of pulmonary vein,,Heart
73554,p74zz00,other great vein anomaly nos,,Heart
24207,p75..00,absence or hypoplasia of the umbilical artery,Yes,Other
98124,p750.00,"congenital absence of umbilical artery, unspecified",Yes,Other
31429,p752.00,single umbilical artery,Yes,Other
61765,p753.00,two umbilical vessels,,Other
68898,p75z.00,absence or hypoplasia of the umbilical artery nos,Yes,Other
45384,p76..00,other peripheral vascular system anomalies,,Other
65384,p76..11,other congenital anomalies of peripheral arteries,,Other
22070,p76..12,other congenital anomalies of peripheral veins,,Other
105717,p760.00,absence of artery nec,,Other
42389,p761.00,anomaly of artery nec,,Other
68310,p762.00,atresia of artery nec,,Other
72950,p763.00,absence of vein nec,,Other
47670,p764.00,anomaly of vein nec,,Other
18269,p766.00,peripheral arterio-venous aneurysm,,Other
10401,p766.11,peripheral arterio-venous malformation,,Other
61062,p767.00,congenital peripheral aneurysm,,Other
40430,p767.11,cirsoid aneurysm,,Other
16710,p768.00,congenital phlebectasia,,Other
58591,p769.00,congenital arterial stricture,,Other
8511,p769000,renal artery stenosis,,Other
35208,p76a.00,congenital varix,,Other
55078,p76b.00,multiple renal arteries,,Other
60755,p76b.11,accessory renal artery,,Other
50786,p76c.00,anomalies of renal artery nec,,Other
92629,p76c000,aberrant main renal artery,,Other
97401,p76cz00,anomaly of renal artery nec nos,,Other
1354,p76d.00,arteriovenous malformation,,Other
47814,p76e.00,aber retro-oesophag subclavian artery causing dysphag lusori,,Other
108675,p76y.00,congenital anomaly of peripheral vascular system os,,Other
107735,p76y100,four vessels in umbilical cord,,Other
73738,p76yz00,other congenital anomaly of peripheral vascular system nos,,Other
56429,p76z.00,peripheral vascular system anomaly nos,,Other
45214,p77..00,arteriovenous malformation of precerebral vessels,,Other
29738,p7w..00,"congenital malformation of circulatory system, unspecif",,Other
45910,p7x..00,"congenital malformation of great arteries, unspecified",,Other
40320,p7y..00,other specified circulatory system anomalies,,Other
31451,p7y0.00,cerebrovascular system anomalies,,Other
55893,p7y0000,"congenital anomaly of cerebral vessel, unspecified",,Other
24424,p7y0100,congenital cerebral arteriovenous aneurysm,,Other
95800,p7y0111,congenital arteriovenous fistula of brain,,Other
44581,p7y0112,congenital cerebral arteriovenous malformation,,Other
36666,p7y0200,congenital brain aneurysm nec,,Other
95798,p7y0400,vein of galen malformation,,Other
94105,p7y0y00,other specified cerebrovascular anomaly,,Other
60781,p7y0z00,cerebrovascular system anomaly nos,,Other
101592,p7yz.00,other cardiovascular system anomaly nos,,Other
63173,p7yz000,congenital aneurysm nec,,Other
56810,p7yz100,congenital chylothorax,,Other
65499,p7yzz00,other cardiovascular system anomaly nos,,Other
43297,p7z..00,circulatory system anomaly nos,,Other
46398,p8...00,respiratory system congenital anomalies,,Respiratory
31027,p80..00,choanal atresia,,Respiratory
66643,p800.00,"choanal atresia, unspecified",,Respiratory
68606,p802.00,atresia of the posterior nares,,Respiratory
107172,p803.00,congenital stenosis of the anterior nares,,Respiratory
96389,p804.00,congenital stenosis of the posterior nares,,Respiratory
60514,p80z.00,choanal atresia nos,,Respiratory
45438,p81..00,other anomalies of nose,,Other
15715,p810.00,"congenital nose deformity, unspecified",,Other
52579,p811.00,absent nose,,Other
102794,p811000,agenesis of nose,,Other
60987,p812.00,accessory nose,,Other
66698,p813.00,congenital cleft nose,,Other
37110,p814.00,deformity of nasal sinus wall,Yes,Other
58422,p815.00,congenital notching of tip of nose,Yes,Other
73595,p816.00,congenital perforation of the nasal sinus wall,,Other
10793,p817.00,perforated nasal septum,,Other
65192,p818.00,congenital fissure of nose,,Other
28199,p819.00,congenital hypoplastic nose,,Other
45376,p81z.00,other anomalies of nose nos,,Other
16933,p81z.11,single nostril,,Other
31771,p82..00,congenital web of larynx,,Other
111186,p820.00,"congenital web of larynx, unspecified",,Other
42855,p821.00,congenital glottic web of larynx,,Other
97956,p822.00,congenital subglottic web of larynx,,Other
70985,p82z.00,congenital web of larynx nos,,Other
29373,p83..00,"other anomalies of larynx, trachea and bronchus",,Respiratory
101497,p830200,agenesis of trachea,,Respiratory
63530,p831.00,anomaly of laryngeal and tracheal cartilage,,Respiratory
44151,p831000,anomaly of cricoid cartilage,,Other
43205,p831100,anomaly of epiglottis,,Other
47467,p831200,anomaly of thyroid cartilage,,Other
31020,p831300,anomaly of tracheal cartilage,,Respiratory
2910,p831400,tracheomalacia,Yes,Respiratory
51933,p831500,laryngeal hypoplasia,,Other
7592,p831600,laryngomalacia,Yes,Other
104555,p831700,congenital laryngomalacia,Yes,Other
55062,p831z00,anomaly of laryngeal or tracheal cartilage nos,,Respiratory
72001,p832.00,atresia of larynx and trachea,,Respiratory
61727,p832000,atresia of epiglottis,,Other
92834,p832100,atresia of glottis,,Other
63288,p832300,atresia of trachea,,Respiratory
59273,p833.00,"congenital stenosis of larynx, trachea and bronchus",,Respiratory
61450,p833000,congenital stenosis of larynx,,Other
48818,p833100,congenital stenosis of trachea,,Respiratory
71893,p833200,congenital stenosis of bronchus,,Respiratory
49142,p833300,congenital subglottic stenosis,,Other
55144,p833400,congenital supraglottic stenosis,,Other
63637,p83y.00,"other anomaly of larynx, trachea and bronchus",,Respiratory
37835,p83y100,congenital dilatation of trachea,,Respiratory
45351,p83y300,congenital laryngocele,,Other
99683,p83y500,congenital diverticulum of trachea,,Respiratory
58868,p83y600,congenital fissure of epiglottis,,Other
105605,p83y700,congenital cleft of posterior cricoid cartilage,,Other
55656,p83y800,rudimentary tracheal bronchus,,Respiratory
5405,p83y900,congenital laryngeal stridor,Yes,Other
11845,p83yb00,congenital bronchomalacia,,Respiratory
63507,p83yw00,other anomaly of larynx,,Other
36474,p83yx00,"congenital malformation of larynx, unspecified",,Other
70193,p83yx00,other anomaly of trachea,,Other
104976,p83yy00,other anomaly of bronchus,,Respiratory
103042,p83yz00,"other anomaly of larynx, trachea or bronchus nos",,Respiratory
36779,p83z.00,"other anomalies of larynx, trachea or bronchus nos",,Respiratory
10699,p84..00,congenital cystic lung,,Respiratory
66223,p840.00,"congenital cystic lung disease, unspecified",,Respiratory
31820,p841.00,congenital polycystic lung,,Respiratory
57330,p841.11,multiple lung cysts,,Respiratory
50980,p841.12,multiple congenital bronchogenic cysts,,Respiratory
66951,p842.00,congenital honeycomb lung,,Respiratory
38769,p843.00,single lung cyst,,Respiratory
15639,p843.11,lung cyst,,Respiratory
32600,p843.12,congenital bronchogenic cyst,,Respiratory
96586,p844.00,congenital cystic adenomatoid malformation of the lung,,Respiratory
64802,p84y.00,other specified congenital cystic lung,,Respiratory
33804,p84z.00,congenital cystic lung nos,,Respiratory
26838,p85..00,"lung agenesis, hypoplasia and dysplasia",,Respiratory
52664,p850.00,aplasia of lung,,Respiratory
23874,p851.00,hypoplasia of lung,,Respiratory
35661,p852.00,sequestration of lung,,Respiratory
59444,p853.00,agenesis of lung,,Respiratory
54384,p853.11,congenital absence of lung,,Respiratory
68268,p853000,congenital absence of lung fissures,,Respiratory
97185,p853100,congenital absence of lobe of lung,,Respiratory
89691,p853z00,agenesis of lung nos,,Respiratory
99799,p85y.00,"other specified lung agenesis, hypoplasia or dysplasia",,Respiratory
50991,p85y000,fusion of lobes of lung,,Respiratory
100037,p85yz00,"other lung agenesis, hypoplasia or dysplasia nos",,Respiratory
93008,p85z.00,"lung agenesis, hypoplasia or dysplasia nos",,Respiratory
18487,p86..00,other lung anomalies,,Respiratory
63453,p860.00,"anomaly of lung, unspecified",,Respiratory
56427,p861.00,congenital bronchiectasis,,Respiratory
60290,p86y.00,other lung anomaly,,Respiratory
48229,p86y100,azygos lobe of lung,Yes,Respiratory
83570,p86y200,accessory lobe of lung,Yes,Respiratory
64758,p86yz00,other lung anomaly nos,,Respiratory
8311,p86z.00,lung anomaly nos,,Respiratory
89730,p8y..00,other specified respiratory system anomalies,,Respiratory
70956,p8y0.00,abnormal pericardio-pleural communication,,Heart
39900,p8y1.00,"anomaly, pleural folds",,Respiratory
52894,p8y2.00,atresia of nasopharynx,,Respiratory
32883,p8y3.00,congenital cyst of mediastinum,,Respiratory
44347,p8y4.00,congenital pulmonary lymphangiectasis,,Respiratory
32416,p8yz.00,other specified respiratory system anomaly nos,,Respiratory
46397,p8z..00,respiratory system anomaly nos,,Respiratory
5374,p9...00,cleft palate and lip,,Orofacial Clefts
2170,p90..00,cleft palate,,Orofacial Clefts
58885,p900.00,"cleft palate, unspecified",,Orofacial Clefts
57453,p900.11,palatoschisis,,Orofacial Clefts
73531,p901.00,unilateral complete cleft palate,,Orofacial Clefts
38873,p901.11,"cleft hard palate, unilateral",,Orofacial Clefts
73558,p902.00,unilateral incomplete cleft palate,,Orofacial Clefts
97631,p902.11,cleft uvula,,Orofacial Clefts
57490,p902.12,"cleft soft palate, unilateral",,Orofacial Clefts
48948,p903.00,bilateral complete cleft palate,,Orofacial Clefts
106078,p904.00,bilateral incomplete cleft palate,,Orofacial Clefts
97477,p904.11,"cleft soft palate, bilateral",,Orofacial Clefts
100787,p905.00,central complete cleft palate,,Orofacial Clefts
45313,p906.00,central incomplete cleft palate,,Orofacial Clefts
68166,p906.11,"cleft soft palate, central",,Orofacial Clefts
93030,p907.00,complete cleft palate nos,,Orofacial Clefts
65623,p907.11,cleft hard palate nos,,Orofacial Clefts
51377,p908.00,incomplete cleft palate nos,,Orofacial Clefts
25740,p908.11,cleft soft palate nos,,Orofacial Clefts
24846,p909.00,cleft uvula,,Orofacial Clefts
42208,p90a.00,"cleft soft palate, bilateral",,Orofacial Clefts
64549,p90b.00,"cleft hard palate, bilateral",,Orofacial Clefts
101223,p90c.00,"cleft hard palate, unilateral",,Orofacial Clefts
15364,p90z.00,cleft palate nos,,Orofacial Clefts
2027,p91..00,cleft lip (harelip),,Orofacial Clefts
16938,p91..11,cheiloschisis,,Orofacial Clefts
60474,p91..12,congenital fissure of lip,,Orofacial Clefts
16457,p910.00,"cleft lip, unspecified",,Orofacial Clefts
63930,p911.00,unilateral complete cleft lip,,Orofacial Clefts
54012,p912.00,unilateral incomplete cleft lip,,Orofacial Clefts
54721,p913.00,bilateral complete cleft lip,,Orofacial Clefts
30957,p914.00,bilateral incomplete cleft lip,,Orofacial Clefts
52827,p915.00,central cleft lip,,Orofacial Clefts
35374,p91z.00,cleft lip nos,,Orofacial Clefts
5386,p92..00,cleft palate with cleft lip,,Orofacial Clefts
105114,p92..11,cheilopalatoschisis,,Orofacial Clefts
51301,p920.00,"cleft palate with cleft lip, unspecified",,Orofacial Clefts
62987,p921.00,unilateral complete cleft palate with cleft lip,,Orofacial Clefts
54144,p922.00,unilateral incomplete cleft palate with cleft lip,,Orofacial Clefts
44977,p923.00,bilateral complete cleft palate with cleft lip,,Orofacial Clefts
62690,p924.00,bilateral incomplete cleft palate with cleft lip,,Orofacial Clefts
93972,p928.00,"cleft hard palate with cleft soft palate, unilateral",,Orofacial Clefts
33902,p92a.00,"cleft hard palate with cleft lip, bilateral",,Orofacial Clefts
62321,p92b.00,"cleft hard palate with cleft lip, unilateral",,Orofacial Clefts
68398,p92z.00,cleft palate with cleft lip nos,,Orofacial Clefts
50430,p9z..00,cleft palate or cleft lip nos,,Orofacial Clefts
72991,pa...00,other congenital upper alimentary tract anomalies,,Digestive
8394,pa0..00,tongue tie - ankyloglossia,Yes,Digestive
30299,pa0..11,ankyloglossia,Yes,Digestive
2227,pa0..12,tongue tie,Yes,Digestive
35634,pa1..00,other tongue anomalies,,Digestive
37358,pa10.00,"anomaly of tongue, unspecified",,Digestive
39308,pa11.00,aglossia,,Digestive
24266,pa12.00,congenital adhesions of tongue,,Digestive
23769,pa13.00,fissure of tongue,Yes,Digestive
32747,pa13.11,bifid tongue,,Digestive
101593,pa13.12,double tongue,,Digestive
30176,pa14.00,macroglossia,Yes,Digestive
17103,pa14.11,congenital tongue hypertrophy,Yes,Digestive
103145,pa15.00,microglossia,,Digestive
67559,pa15.11,hypoplasia of tongue,,Digestive
66477,pa15.12,short tongue,,Digestive
72209,pa16.00,dislocation of tongue,,Digestive
102580,pa17.00,cleft tongue,,Digestive
65298,pa18.00,congenital plicated tongue,,Digestive
33573,pa1z.00,other tongue anomalies nos,,Digestive
96239,pa2..00,other specified mouth and pharynx anomalies,,Digestive
68884,pa20.00,congenital absence of salivary gland,,Digestive
43442,pa21.00,accessory salivary gland,,Digestive
34305,pa22.00,"atresia, salivary duct",,Digestive
49382,pa23.00,congenital salivary gland fistula,,Digestive
96432,pa24.00,congenital fistula of lip,Yes,Digestive
51454,pa24.11,congenital pits of lip,,Other
40055,pa25.00,other mouth anomalies,,Digestive
38317,pa25.11,fordyce's disease of mouth,,Digestive
54524,pa25000,congenital absence of uvula,,Digestive
21406,pa25100,high arched palate,Yes,Digestive
37517,pa25y00,other congenital anomaly of palate,,Digestive
24781,pa25z00,other mouth anomalies nos,,Digestive
39976,pa26.00,diverticulum of pharynx,,Digestive
3753,pa26.11,pharyngeal pouch,,Digestive
44945,pa27.00,other pharynx anomalies,,Digestive
56901,pa27000,imperforate pharynx,,Digestive
49742,pa27100,congenital pharyngeal polyp,,Other
57264,pa27z00,other pharynx anomalies nos,,Digestive
45210,pa28.00,"ranula, congenital",Yes,Digestive
16343,pa29.00,other anomalies of salivary glands or ducts,,Digestive
61320,pa29.11,displacement of wharton's duct,,Digestive
17875,pa2a.00,other anomalies of lip,,Digestive
109860,pa2a000,congenital ectropion of lip,,Other
21244,pa2az00,other anomaly of lip nos,,Digestive
39628,pa2z.00,other mouth and pharynx anomalies nos,,Digestive
37408,pa3..00,"oesophageal atresia, stenosis and fistula",,Digestive
46814,pa3..11,congenital oesophageal ring,,Digestive
4122,pa30.00,atresia of oesophagus,,Digestive
16744,pa31.00,congenital oesophageal stricture,,Digestive
49707,pa31.11,congenital oesophageal stenosis,,Digestive
31730,pa32.00,congenital oesophageal fistula,,Digestive
48087,pa32000,oesophagobronchial fistula,,Digestive
37868,pa32100,oesophagotracheal fistula,,Digestive
35042,pa32111,congenital tracheo-oesophageal fistula,,Digestive
95311,pa32z00,congenital oesophageal fistula nos,,Digestive
98741,pa33.00,imperforate oesophagus,,Digestive
4620,pa34.00,webbed oesophagus,,Digestive
98859,pa35.00,congenital absence of oesophagus,,Digestive
98860,pa36.00,cong.absence of oesophagus with tracheo-oesophageal fistula,,Digestive
33655,pa37.00,atresia of oesophagus with tracheo-oesophageal fistula,,Digestive
29767,pa3y.00,"other specified oesophageal atresia, stenosis or fistula",,Digestive
5801,pa3z.00,"oesophageal atresia, stenosis or fistula nos",,Digestive
38320,pa4..00,other specified oesophageal anomalies,,Digestive
22560,pa40.00,congenital dilatation of oesophagus,,Digestive
45197,pa42.00,congenital diverticulum of oesophagus,,Digestive
55900,pa43.00,congenital duplication of oesophagus,,Digestive
94472,pa44.00,giant oesophagus,,Digestive
43558,pa45.00,congenital oesophageal pouch,,Digestive
27895,pa4z.00,other specified oesophageal anomaly nos,,Digestive
2469,pa5..00,congenital hypertrophic pyloric stenosis,Yes,Digestive
63866,pa50.00,congenital pyloric hypertrophy,Yes,Digestive
69167,pa51.00,congenital pyloric spasm,Yes,Digestive
64485,pa51.11,congenital pylorospasm,Yes,Digestive
3263,pa52.00,congenital pyloric stenosis,Yes,Digestive
69528,pa52.11,congenital pyloric stricture,Yes,Digestive
22586,pa5y.00,other specified congenital pyloric obstruction,,Digestive
60432,pa5z.00,congenital pyloric obstruction nos,,Digestive
43215,pa6..00,congenital hiatus hernia,Yes,Digestive
44972,pa7..00,other specified stomach anomalies,,Digestive
72271,pa70.00,congenital cardiospasm,,Digestive
23416,pa70.11,congenital achalasia of cardia,,Digestive
47776,pa71.00,congenital hourglass stomach,,Digestive
65337,pa73.00,congenital stomach diverticulum,,Digestive
66130,pa74.00,duplication of stomach,,Digestive
71255,pa75.00,megalogastria,,Digestive
35278,pa76.00,microgastria,,Digestive
66199,pa77.00,transposition of stomach,,Digestive
33453,pa78.00,ectopic gastric mucosa,,Digestive
51486,pa7z.00,other specified stomach anomaly nos,,Digestive
2981,pay..00,other specified upper alimentary tract anomaly,,Digestive
40528,paz..00,upper alimentary tract anomalies nos,,Digestive
16845,paz0.00,unspecified anomalies of mouth and pharynx,,Digestive
7107,paz1.00,unspecified anomalies of oesophagus,,Digestive
25280,paz2.00,unspecified anomalies of stomach,,Digestive
55080,pazz.00,anomalies of upper alimentary tract nos,,Digestive
29785,pazz.11,malformation of throat,,Digestive
42998,pb...00,other congenital digestive system anomaly,,Digestive
5069,pb0..00,meckel's diverticulum,Yes,Digestive
109846,pb0..12,persistent vitelline duct,,Digestive
29302,pb00.00,"meckel's diverticulum, unspecified",Yes,Digestive
94449,pb01.00,displaced meckel's diverticulum,Yes,Digestive
47428,pb03.00,persistent omphalomesenteric duct,,Digestive
51731,pb03.11,persistent vitelline duct,,Digestive
33781,pb0z.00,meckel's diverticulum nos,Yes,Digestive
60083,pb1..00,small intestine atresia and stenosis,,Digestive
33584,pb10.00,atresia of small intestine,,Digestive
40252,pb10000,"atresia of small intestine, unspecified",,Digestive
19039,pb10100,atresia of duodenum,,Digestive
53565,pb10200,atresia of ileum,,Digestive
52687,pb10300,atresia of jejunum,,Digestive
70579,pb10z00,small intestine atresia nos,,Digestive
18406,pb11200,congenital absence of ileum,,Digestive
66309,pb12.00,congenital obstruction of small intestine,,Digestive
59399,pb13.00,congenital stenosis of small intestine,,Digestive
20686,pb13000,congenital stenosis of duodenum,,Digestive
67021,pb13100,congenital stenosis of jejunum,,Digestive
69712,pb13200,congenital stenosis of ileum,,Digestive
99366,pb13z00,congenital stenosis of small intestine nos,,Digestive
47939,pb13z11,congenital stricture of small intestine,,Digestive
68484,pb14.00,imperforate jejunum,,Digestive
25042,pb1z.00,small intestine atresia or stenosis nos,,Digestive
51672,pb2..00,atresia and stenosis of large intestine/rectum/anal canal,,Digestive
27598,pb2..11,atresia large intestine,,Digestive
50109,pb2..12,stenosis large intestine,,Digestive
58855,pb20.00,congenital absence of large intestine,,Digestive
59430,pb20000,congenital absence of anus,,Digestive
44471,pb20100,congenital absence of appendix,,Digestive
50443,pb20200,congenital absence of rectum,,Digestive
34909,pb20211,agenesis of rectum,,Digestive
93826,pb20300,congenital absence of anus with fistula,,Digestive
58095,pb20400,congenital absence of rectum with fistula,,Digestive
56383,pb20411,agenesis of rectum with fistula,,Digestive
31468,pb21.00,atresia of large intestine,,Digestive
31731,pb21000,atresia of anus,,Digestive
23593,pb21100,atresia of colon,,Digestive
46123,pb21200,atresia of rectum,,Digestive
99653,pb21300,atresia of appendix,,Digestive
12610,pb21400,atresia of anus with fistula,,Digestive
71153,pb21500,atresia of rectum with fistula,,Digestive
65762,pb22.00,congenital obstruction of large intestine,,Digestive
108445,pb22.11,congenital stenosis of large intestine,,Digestive
90483,pb23.00,congenital occlusion of anus,,Digestive
97750,pb23.11,anal septum,,Digestive
101348,pb23000,congenital occlusion of anus with fistula,,Digestive
62671,pb23z00,congenital occlusion of anus nos,,Digestive
48020,pb24.00,congenital stricture of anus,,Digestive
35019,pb24.11,congenital anal stricture,,Digestive
41359,pb24000,congenital stricture of anus with fistula,,Digestive
100539,pb24011,congenital stenosis of anus with fistula,,Digestive
107117,pb24100,congenital stricture of anus without mention of fistula,,Digestive
49089,pb24111,congenital stenosis of anus without mention of fistula,,Digestive
73497,pb24z00,congenital stricture of anus nos,,Digestive
49501,pb25.00,congenital stricture of rectum,,Digestive
38655,pb25.11,congenital rectal stricture,,Digestive
69054,pb25000,congenital stricture of rectum with fistula,,Digestive
88890,pb25011,congenital stenosis of rectum with fistula,,Digestive
101122,pb25111,congenital stenosis of rectum without mention of fistula,,Digestive
42469,pb25z00,congenital stricture of rectum nos,,Digestive
4855,pb26.00,imperforate anus,,Digestive
61401,pb26000,imperforate anus with fistula,,Digestive
67319,pb26z00,imperforate anus nos,,Digestive
49242,pb27.00,imperforate rectum,,Digestive
44953,pb27000,imperforate rectum with fistula,,Digestive
35968,pb2z.00,atresia and stenosis of large intestine/rectum/anus nos,,Digestive
56630,pb3..00,hirschsprung's disease and allied congenital conditions,,Digestive
94813,pb3..11,aganglionosis,,Digestive
8546,pb30.00,hirschsprung's disease,,Digestive
63395,pb30000,long segment hirschsprung's disease,,Digestive
70868,pb30100,short segment hirschsprung's disease,,Digestive
70582,pb30z00,hirschsprung's disease nos,,Digestive
37401,pb31.00,idiopathic congenital megacolon,,Digestive
52258,pb33.00,total intestinal aganglionosis,,Digestive
65511,pb33.11,aganglionic macrocolon,,Digestive
53517,pb33.12,congenital aganglionic megacolon,,Digestive
59085,pb3z.00,hirschsprung's disease and allied congenital conditions nos,,Digestive
31401,pb4..00,intestinal fixation anomalies,,Digestive
67830,pb40.00,congenital intestinal adhesions,,Digestive
69684,pb40000,congenital omental adhesions,,Digestive
35714,pb40100,jackson's membrane,,Digestive
67420,pb40200,congenital peritoneal adhesions,,Digestive
47616,pb40211,congenital peritoneal bands,,Digestive
69811,pb40z00,congenital intestinal adhesions nos,,Digestive
5532,pb41.00,malrotation of colon and caecum,,Digestive
56743,pb41000,malrotation of colon,,Digestive
57921,pb41100,malrotation of caecum,,Digestive
66375,pb41z00,malrotation of colon or caecum nos,,Digestive
62998,pb42.00,universal mesentery,,Digestive
50785,pb43.00,other anomalies of mesentery,,Digestive
107768,pb4y.00,other specified intestinal fixation anomaly,,Digestive
72186,pb4z.00,intestinal fixation anomaly nos,,Digestive
64436,pb4z.11,malfixation of gut nec,,Digestive
39735,pb4z.12,malrotation of gut,,Digestive
34304,pb4z.13,malrotation of intestine,,Digestive
50278,pb5..00,other anomalies of intestine,,Digestive
20830,pb50.00,congenital diverticulum of colon,,Digestive
62438,pb51.00,dolichocolon,,Digestive
65831,pb52.00,duplication of intestine,,Digestive
73631,pb52000,"duplication of intestine, unspecified",,Digestive
71858,pb52100,duplication of anus,,Digestive
68728,pb52300,duplication of caecum,,Digestive
69243,pb52z00,duplication of intestine nos,,Digestive
68819,pb52z11,congenital redundant rectal mucosa,,Digestive
48260,pb52z12,congenital redundant colon,,Digestive
67877,pb53.00,transposition of intestine,,Digestive
71180,pb53000,"transposition of intestine, unspecified",,Digestive
59279,pb53100,transposition of appendix,,Digestive
66200,pb53200,transposition of caecum,,Digestive
45857,pb53300,transposition of colon,,Digestive
20126,pb53z00,transposition of intestine nos,,Digestive
34967,pb54.00,ectopic anus,,Digestive
50050,pb56.00,megaloduodenum,,Digestive
44201,pb57.00,microcolon,,Digestive
41508,pb58.00,persistent cloaca,,Digestive
58998,pb58.11,anal fusion,,Digestive
96419,pb58.12,anal and urogenital canal fusion,,Other
37080,pb59.00,congenital anal fistula,,Digestive
35191,pb5a.00,enterogenous cyst,,Digestive
47726,pb5x.00,"congenital malformation of intestine, unspecified",,Digestive
67644,pb5z.00,other intestine anomalies nos,,Digestive
49448,pb5z.11,congenital volvulus,,Digestive
24437,pb5z.12,short bowel syndrome,,Other
71051,pb5z000,congenital faecal fistula,,Digestive
60549,pb6..00,liver and biliary system anomalies,,Digestive
40425,pb6..11,bile duct anomalies,,Digestive
17991,pb6..12,biliary anomalies,,Digestive
32791,pb6..13,gallbladder anomalies,,Digestive
31201,pb6..14,liver anomalies,,Digestive
66895,pb60.00,"liver and biliary system anomalies, unspecified",,Digestive
29801,pb60000,"liver anomaly, unspecified",,Digestive
62051,pb60100,"gallbladder anomaly, unspecified",,Digestive
53764,pb60200,"bile duct anomaly, unspecified",,Digestive
70044,pb60z00,unspecified liver and biliary system anomaly nos,,Digestive
25597,pb61.00,biliary atresia,,Digestive
16417,pb61000,congenital absence of bile duct,,Digestive
49479,pb61200,congenital obstruction of bile duct,,Digestive
95810,pb61300,congenital stricture of bile duct,,Digestive
32803,pb61311,congenital stricture of common bile duct,,Digestive
38389,pb61400,atresia of bile duct,,Digestive
65889,pb61411,intrahepatic atresia of bile duct,,Digestive
50458,pb61412,extrahepatic atresia of bile duct,,Digestive
48269,pb61500,congenital absence of hepatic ducts,,Digestive
50400,pb61600,atresia of hepatic ducts,,Digestive
50444,pb61z00,biliary atresia nos,,Digestive
27565,pb62.00,congenital cystic liver disease,,Digestive
34903,pb62.11,congenital hepatic cyst,,Digestive
18195,pb62000,congenital polycystic liver disease,,Digestive
28350,pb62100,fibrocystic liver disease,,Digestive
72000,pb62z00,congenital cystic liver disease nos,,Digestive
42256,pb63000,congenital absence of gallbladder,,Digestive
47576,pb63011,agenesis of gallbladder,,Digestive
98402,pb63100,congenital absence of liver lobe,,Digestive
20610,pb63300,riedel's lobe liver,,Digestive
109392,pb64000,duplication of biliary duct,,Digestive
70711,pb64100,duplication of cystic duct,,Digestive
44475,pb64200,duplication of gallbladder,,Digestive
100050,pb64311,accessory liver,,Digestive
21165,pb6y.00,other liver and biliary anomalies,,Digestive
20979,pb6y000,congenital choledochal cyst,,Digestive
48738,pb6y100,congenital hepatomegaly,,Digestive
72283,pb6y200,congenital floating gallbladder,,Digestive
59270,pb6y400,intrahepatic gallbladder,,Digestive
