prodcode,strength,substancestrength,routeofadministration,bnfheader,formulation,bnfchapter,drugsubstance,productname,route,class
68680,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (mawdsley-brooks & company ltd),oral,7
55482,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (mylan),oral,7
58291,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (pfizer ltd),oral,7
77865,15mg,,,,orodispersible tablet,other antidepressants,mirtazapine,mirtazapine 15mg orodispersible tablets (phoenix healthcare distribution ltd),oral,7
65555,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (sigma pharmaceuticals plc),oral,7
43237,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (teva uk ltd),oral,7
48698,15mg,,,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets sugar free,oral,7
54012,15mg,,,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets sugar free (sandoz ltd),oral,7
6795,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets,oral,7
43239,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (a a h pharmaceuticals ltd),oral,7
53699,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (actavis uk ltd),oral,7
66183,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (alliance healthcare (distribution) ltd),oral,7
59953,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (almus pharmaceuticals ltd),oral,7
46668,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (arrow generics ltd),oral,7
66752,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (aurobindo pharma ltd),oral,7
82469,15mg,,,,tablet,other antidepressants,mirtazapine,mirtazapine 15mg tablets (genesis pharmaceuticals ltd),oral,7
43242,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (genus pharmaceuticals ltd),oral,7
54342,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (medreich plc),oral,7
82206,15mg,,,,tablet,other antidepressants,mirtazapine,mirtazapine 15mg tablets (noumed life sciences ltd),oral,7
54644,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (pfizer ltd),oral,7
82682,15mg,,,,tablet,other antidepressants,mirtazapine,mirtazapine 15mg tablets (relonchem ltd),oral,7
74557,15mg,,,,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (sigma pharmaceuticals plc),oral,7
43257,15mg,15mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg tablets (teva uk ltd),oral,7
16154,15mg/1ml,15mg/1ml,Oral,Other Antidepressant Drugs,oral solution,other antidepressant drugs,mirtazapine,mirtazapine 15mg/ml oral solution sugar free,oral,7
53321,15mg/1ml,15mg/1ml,Oral,Other Antidepressant Drugs,oral solution,other antidepressant drugs,mirtazapine,mirtazapine 15mg/ml oral solution sugar free (a a h pharmaceuticals ltd),oral,7
81914,15mg/1ml,,,,oral solution,other antidepressants,mirtazapine,mirtazapine 15mg/ml oral solution sugar free (alliance healthcare (distribution) ltd),oral,7
61547,15mg/1ml,15mg/1ml,Oral,Other Antidepressant Drugs,oral solution,other antidepressant drugs,mirtazapine,mirtazapine 15mg/ml oral solution sugar free (de pharmaceuticals),oral,7
47966,15mg/1ml,15mg/1ml,Oral,Other Antidepressant Drugs,oral solution,other antidepressant drugs,mirtazapine,mirtazapine 15mg/ml oral solution sugar free (rosemont pharmaceuticals ltd),oral,7
68544,2mg,2mg,Oral,Other Antidepressant Drugs,capsule,other antidepressant drugs,mirtazapine,mirtazapine 2mg capsules,oral,7
6488,30mg,30mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg orodispersible tablets,oral,7
43250,30mg,30mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg orodispersible tablets (a a h pharmaceuticals ltd),oral,7
53648,30mg,30mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg orodispersible tablets (accord healthcare ltd),oral,7
68052,30mg,30mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg orodispersible tablets (almus pharmaceuticals ltd),oral,7
48185,30mg,,,,orodispersible tablet,unknown,mirtazapine,mirtazapine 30mg orodispersible tablets (almus pharmaceuticals ltd),oral,7
69420,30mg,,,,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg orodispersible tablets (aurobindo pharma ltd),oral,7
76187,30mg,,,,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg orodispersible tablets (mylan),oral,7
59694,30mg,30mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg orodispersible tablets (phoenix healthcare distribution ltd),oral,7
80953,30mg,,,,tablet,other antidepressants,mirtazapine,mirtazapine 30mg tablet (kent pharmaceuticals ltd),oral,7
742,30mg,30mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg tablets,oral,7
47945,30mg,30mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg tablets (a a h pharmaceuticals ltd),oral,7
40160,30mg,30mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg tablets (actavis uk ltd),oral,7
54792,30mg,30mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg tablets (alliance healthcare (distribution) ltd),oral,7
69005,30mg,,,,tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg tablets (almus pharmaceuticals ltd),oral,7
77488,30mg,,,,tablet,other antidepressants,mirtazapine,mirtazapine 30mg tablets (arrow generics ltd),oral,7
78654,30mg,,,,tablet,other antidepressants,mirtazapine,mirtazapine 30mg tablets (aurobindo pharma ltd),oral,7
60538,30mg,30mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg tablets (de pharmaceuticals),oral,7
82070,30mg,,,,tablet,other antidepressants,mirtazapine,mirtazapine 30mg tablets (ennogen healthcare ltd),oral,7
82326,30mg,,,,tablet,other antidepressants,mirtazapine,mirtazapine 30mg tablets (medreich plc),oral,7
56209,30mg,30mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg tablets (phoenix healthcare distribution ltd),oral,7
68933,30mg,,,,tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg tablets (pliva pharma ltd),oral,7
71543,30mg,,,,tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg tablets (sigma pharmaceuticals plc),oral,7
63403,30mg,30mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 30mg tablets (teva uk ltd),oral,7
6481,45mg,45mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg orodispersible tablets,oral,7
43235,45mg,45mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg orodispersible tablets (a a h pharmaceuticals ltd),oral,7
43236,45mg,45mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg orodispersible tablets (accord healthcare ltd),oral,7
43256,45mg,45mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg orodispersible tablets (focus pharmaceuticals ltd),oral,7
43247,45mg,45mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg orodispersible tablets (genus pharmaceuticals ltd),oral,7
64139,45mg,45mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg orodispersible tablets (mylan),oral,7
43234,45mg,45mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg orodispersible tablets (teva uk ltd),oral,7
49820,45mg,,,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg orodispersible tablets sugar free,oral,7
6854,45mg,45mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg tablets,oral,7
33337,45mg,45mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg tablets (a a h pharmaceuticals ltd),oral,7
58625,45mg,45mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg tablets (actavis uk ltd),oral,7
59954,45mg,45mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg tablets (almus pharmaceuticals ltd),oral,7
64223,45mg,45mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,mirtazapine 45mg tablets (teva uk ltd),oral,7
82245,15mg/1ml,,,,oral suspension,other antidepressants,mirtazapine,mirtazapine 75mg/5ml oral suspension,oral,7
77377,30mg,,,,tablet,other antidepressants,mirtazapine,zispin 30mg tablets (dowelhurst ltd),oral,7
4726,30mg,30mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,zispin 30mg tablets (organon laboratories ltd),oral,7
67272,30mg,30mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,mirtazapine,zispin 30mg tablets (waymade healthcare plc),oral,7
60370,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,zispin soltab 15mg orodispersible tablets (mawdsley-brooks & company ltd),oral,7
6846,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,zispin soltab 15mg orodispersible tablets (merck sharp & dohme ltd),oral,7
50892,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,zispin soltab 15mg orodispersible tablets (necessity supplies ltd),oral,7
82520,15mg,,,,orodispersible tablet,other antidepressants,mirtazapine,zispin soltab 15mg orodispersible tablets (waymade healthcare plc),oral,7
80893,30mg,,,,orodispersible tablet,other antidepressants,mirtazapine,zispin soltab 30mg orodispersible tablets (mawdsley-brooks & company ltd),oral,7
10083,30mg,30mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,zispin soltab 30mg orodispersible tablets (merck sharp & dohme ltd),oral,7
53543,30mg,30mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,zispin soltab 30mg orodispersible tablets (necessity supplies ltd),oral,7
82510,30mg,,,,orodispersible tablet,other antidepressants,mirtazapine,zispin soltab 30mg orodispersible tablets (waymade healthcare plc),oral,7
15268,45mg,45mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,zispin soltab 45mg orodispersible tablets (merck sharp & dohme ltd),oral,7
7468,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,mianserin hydrochloride,bolvidon 10mg tablet (organon laboratories ltd),oral,7
8144,20mg,20mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,mianserin hydrochloride,bolvidon 20mg tablet (organon laboratories ltd),oral,7
8585,30mg,30mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,mianserin hydrochloride,bolvidon 30mg tablet (organon laboratories ltd),oral,7
3083,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,mianserin hydrochloride,mianserin 10mg tablets,oral,7
47363,20mg,20mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,mianserin hydrochloride,mianserin 20mg tablet (berk pharmaceuticals ltd),oral,7
4329,20mg,,,,tablet,unknown,mianserin hydrochloride,mianserin 20mg tablets,oral,7
6255,30mg,30mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,mianserin hydrochloride,mianserin 30mg tablets,oral,7
12368,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,mianserin hydrochloride,norval 10mg tablet (bencard),oral,7
11956,20mg,20mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,mianserin hydrochloride,norval 20mg tablet (bencard),oral,7
12192,30mg,30mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,mianserin hydrochloride,norval 30mg tablet (bencard),oral,7
12222,10mg,,,,tablet,unknown,maprotiline hydrochloride,ludiomil 10mg tablets (novartis pharmaceuticals uk ltd),oral,3
10645,25mg,,,,tablet,unknown,maprotiline hydrochloride,ludiomil 25mg tablets (novartis pharmaceuticals uk ltd),oral,3
14410,50mg,,,,tablet,unknown,maprotiline hydrochloride,ludiomil 50mg tablets (novartis pharmaceuticals uk ltd),oral,3
13558,75mg,,,,tablet,unknown,maprotiline hydrochloride,ludiomil 75mg tablets (novartis pharmaceuticals uk ltd),oral,3
16727,10mg,,,,tablet,unknown,maprotiline hydrochloride,maprotiline 10mg tablets,oral,3
8549,25mg,,,,tablet,unknown,maprotiline hydrochloride,maprotiline 25mg tablets,oral,3
12100,50mg,,,,tablet,unknown,maprotiline hydrochloride,maprotiline 50mg tablets,oral,3
20405,75mg,,,,tablet,unknown,maprotiline hydrochloride,maprotiline 75mg tablets,oral,3
58450,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,feprapax 70mg tablets (ashbourne pharmaceuticals ltd),oral,3
2093,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,gamanil 70mg tablets (merck serono ltd),oral,3
41627,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablet (teva uk ltd),oral,3
114,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets,oral,3
34046,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets (a a h pharmaceuticals ltd),oral,3
34950,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets (accord healthcare ltd),oral,3
71067,70mg,,,,tablet,unknown,lofepramine hydrochloride,lofepramine 70mg tablets (almus pharmaceuticals ltd),oral,3
74586,70mg,,,,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets (almus pharmaceuticals ltd),oral,3
66100,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets (de pharmaceuticals),oral,3
34578,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets (ivax pharmaceuticals uk ltd),oral,3
68657,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets (kent pharmaceuticals ltd),oral,3
67742,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets (mylan),oral,3
56703,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets (sandoz ltd),oral,3
34672,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets (sterwin medicines),oral,3
60591,70mg,70mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg tablets (teva uk ltd),oral,3
56229,14mg/1ml,14mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral solution,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg/5ml oral solution,oral,3
43534,14mg/1ml,14mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral suspension,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg/5ml oral suspension (rosemont pharmaceuticals ltd),oral,3
4218,14mg/1ml,14mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral suspension,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lofepramine 70mg/5ml oral suspension sugar free,oral,3
77717,14mg/1ml,,,,oral suspension,tricyclic and related antidepressants,lofepramine hydrochloride,lofepramine 70mg/5ml oral suspension sugar free (a a h pharmaceuticals ltd),oral,3
25444,14mg/1ml,14mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral suspension,tricyclic and related antidepressant drugs,lofepramine hydrochloride,lomont 70mg/5ml oral suspension (rosemont pharmaceuticals ltd),oral,3
79397,,,,,oral solution,tricyclic and related antidepressants,lofepramine,lofepramine oral solution,,3
41731,10mg,10mg,Oral,Monoamine-oxidase Inhibitors,tablet,monoamine-oxidase inhibitors,isocarboxazid,isocarboxazid 10mg tablet (cambridge laboratories ltd),oral,4
12207,10mg,10mg,Oral,Monoamine-oxidase Inhibitors,tablet,monoamine-oxidase inhibitors,isocarboxazid,isocarboxazid 10mg tablets,oral,4
12503,10mg,10mg,Oral,Monoamine-oxidase Inhibitors,tablet,monoamine-oxidase inhibitors,isocarboxazid,marplan 10mg tablet (cambridge laboratories ltd),oral,4
25945,25mg,25mg,Oral,Monoamine-oxidase Inhibitors,tablets,monoamine-oxidase inhibitors,iproniazide,iproniazid 25mg,oral,4
18290,25mg,25mg,Oral,Monoamine-oxidase Inhibitors,tablet,monoamine-oxidase inhibitors,iproniazide,marsilid 25mg tablet (roche products ltd),oral,4
27476,15mg,15mg,Oral,Tricyclic And Related Antidepressant Drugs,tablets,tricyclic and related antidepressant drugs,iprindole,iprindole hc 15mg,oral,3
27733,30mg,30mg,Oral,Tricyclic And Related Antidepressant Drugs,tablets,tricyclic and related antidepressant drugs,iprindole,iprindole hc 30mg,oral,3
24700,15mg,15mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,iprindole,prondol 15mg tablet (wyeth pharmaceuticals),oral,3
31672,30mg,30mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,iprindole,prondol 30mg tablet (wyeth pharmaceuticals),oral,3
1310,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 10mg tablets,oral,3
41681,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 10mg tablets (a a h pharmaceuticals ltd),oral,3
34222,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 10mg tablets (actavis uk ltd),oral,3
67935,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 10mg tablets (almus pharmaceuticals ltd),oral,3
71253,10mg,,,,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 10mg tablets (de pharmaceuticals),oral,3
70287,10mg,,,,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 10mg tablets (sigma pharmaceuticals plc),oral,3
32863,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 10mg tablets (teva uk ltd),oral,3
34872,25mg,25mg,Oral,"Tricyclic And Related Antidepressant Drugs/Drugs For Urinary Frequency, Enuresis, And Incontinence",tablet,"tricyclic and related antidepressant drugs/drugs for urinary frequency, enuresis, and incontinence",imipramine hydrochloride,imipramine 25mg tablet (c p pharmaceuticals ltd),oral,3
81638,25mg,,,,tablet,"tricyclic and related antidepressants/drugs for urinary frequency, enuresis, and incontinence",imipramine hydrochloride,imipramine 25mg tablet (celltech pharma europe ltd),oral,3
1809,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 25mg tablets,oral,3
34813,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 25mg tablets (a a h pharmaceuticals ltd),oral,3
34355,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 25mg tablets (actavis uk ltd),oral,3
82911,25mg,,,,tablet,tricyclic and related antidepressants/nocturnal enuresis,imipramine hydrochloride,imipramine 25mg tablets (alliance healthcare (distribution) ltd),oral,3
83472,25mg,,,,tablet,tricyclic and related antidepressants/nocturnal enuresis,imipramine hydrochloride,imipramine 25mg tablets (almus pharmaceuticals ltd),oral,3
80885,25mg,,,,tablet,tricyclic and related antidepressants/nocturnal enuresis,imipramine hydrochloride,imipramine 25mg tablets (kent pharmaceuticals ltd),oral,3
41408,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 25mg tablets (teva uk ltd),oral,3
8055,5mg/1ml,,,,oral solution,unknown,imipramine hydrochloride,imipramine 25mg/5ml oral solution,oral,3
42247,5mg/1ml,5mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,oral solution,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,imipramine 25mg/5ml oral solution sugar free,oral,3
33074,10mg,10mg,Oral,"Tricyclic And Related Antidepressant Drugs/Drugs For Urinary Frequency, Enuresis, And Incontinence",tablet,"tricyclic and related antidepressant drugs/drugs for urinary frequency, enuresis, and incontinence",imipramine hydrochloride,praminil 10mg tablet (ddsa pharmaceuticals ltd),oral,3
2579,10mg,10mg,Oral,"Tricyclic And Related Antidepressant Drugs/Drugs For Urinary Frequency, Enuresis, And Incontinence",tablet,"tricyclic and related antidepressant drugs/drugs for urinary frequency, enuresis, and incontinence",imipramine hydrochloride,tofranil 10mg tablet (novartis pharmaceuticals uk ltd),oral,3
56501,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,imipramine hydrochloride,tofranil 25mg tablets (lexon (uk) ltd),oral,3
7910,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,imipramine hydrochloride,tofranil 25mg tablets (novartis pharmaceuticals uk ltd),oral,3
4404,5mg/1ml,,,,oral solution,unknown,imipramine hydrochloride,tofranil 25mg/5ml syrup (novartis pharmaceuticals uk ltd),oral,3
12123,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,fluvoxamine maleate,faverin 100mg tablets (mylan),oral,1
2897,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,fluvoxamine maleate,faverin 50mg tablets (mylan),oral,1
2290,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,fluvoxamine maleate,fluvoxamine 100mg tablets,oral,1
48045,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,fluvoxamine maleate,fluvoxamine 100mg tablets (a a h pharmaceuticals ltd),oral,1
44861,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,fluvoxamine maleate,fluvoxamine 100mg tablets (actavis uk ltd),oral,1
43518,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,fluvoxamine maleate,fluvoxamine 100mg tablets (ivax pharmaceuticals uk ltd),oral,1
2880,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,fluvoxamine maleate,fluvoxamine 50mg tablets,oral,1
33071,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,capsule,selective serotonin re-uptake inhibitors,fluoxetine hydrochloride,felicium 20mg capsules (opus pharmaceuticals ltd),oral,1
67431,10mg,10mg,Oral,Selective Serotonin Re-uptake Inhibitors,capsule,selective serotonin re-uptake inhibitors,fluoxetine hydrochloride,fluoxetine 10mg capsules,oral,1
69941,10mg,,,,capsule,selective serotonin re-uptake inhibitors,fluoxetine hydrochloride,fluoxetine 10mg capsules (a a h pharmaceuticals ltd),oral,1
77881,10mg,,,,capsule,selective serotonin re-uptake inhibitors (ssri),fluoxetine hydrochloride,fluoxetine 10mg capsules (medreich plc),oral,1
42499,10mg,10mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,fluoxetine hydrochloride,fluoxetine 10mg tablets,oral,1
81906,10mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),fluoxetine hydrochloride,fluoxetine 10mg tablets (endo ventures ltd),oral,1
75645,500microgram/1ml,,,,oral solution,selective serotonin re-uptake inhibitors,fluoxetine hydrochloride,fluoxetine 2.5mg/5ml oral solution,oral,1
38890,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,capsule,selective serotonin re-uptake inhibitors,fluoxetine hydrochloride,fluoxetine 20mg capsule (milpharm ltd),oral,1
22,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,capsule,selective serotonin re-uptake inhibitors,fluoxetine hydrochloride,fluoxetine 20mg capsules,oral,1
